S.No,Date,Tele Caller,Description ,Contact Number,Status,Source,Category,Call Type,Remarks,Company
168,26-04-22,Eswarya,Junk Lead,9632587410,Invalid number,CRM,Residence,Inactive,Nil,Budanta
169,26-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
170,26-04-22,Eswarya,Junk Lead,6985847133,Duplicate,CRM,Residence,Inactive,Nil,Budanta
171,26-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
172,26-04-22,Eswarya,Junk Lead,7987998798,Invalid number,CRM,Residence,Inactive,Nil,Budanta
173,26-04-22,Eswarya,Junk Lead,8988898498,Switched off ,CRM,Residence,Inactive,Nil,Budanta
174,26-04-22,Eswarya,Junk Lead,9943604055,Not required,CRM,Residence,Inactive,Nil,Budanta
175,26-04-22,Eswarya,Junk Lead,9849106100,Not required,CRM,Residence,Inactive,Nil,Budanta
176,26-04-22,Eswarya,Junk Lead,9789492195,Out of district,CRM,Residence,Inactive,Nil,Budanta
177,26-04-22,Eswarya,Junk Lead,9491049100,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
178,26-04-22,Eswarya,Junk Lead,6862113191,Not required,CRM,Residence,Inactive,Nil,Budanta
179,26-04-22,Eswarya,Junk Lead,9566522629,Not required,CRM,Residence,Inactive,Nil,Budanta
180,26-04-22,Eswarya,Junk Lead,9095420718,Not required,CRM,Residence,Inactive,Nil,Budanta
181,26-04-22,Eswarya,Junk Lead,9871161213,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
182,26-04-22,Eswarya,Junk Lead,8000087728,Invalid number,CRM,Residence,Inactive,Nil,Budanta
183,26-04-22,Eswarya,Junk Lead,9650209797,Invalid number,CRM,Residence,Inactive,Nil,Budanta
184,26-04-22,Eswarya,Junk Lead,9851156060,Not required,CRM,Residence,Inactive,Nil,Budanta
185,26-04-22,Eswarya,Junk Lead,9875061000,Duplicate,CRM,Residence,Inactive,Nil,Budanta
186,26-04-22,Eswarya,Junk Lead,7896542147,Invalid number,CRM,Residence,Inactive,Nil,Budanta
187,26-04-22,Eswarya,Junk Lead,9874191051,Switched off ,CRM,Residence,Inactive,Nil,Budanta
188,26-04-22,Eswarya,Junk Lead,6999649188,Invalid number,CRM,Residence,Inactive,Nil,Budanta
189,26-04-22,Eswarya,Junk Lead,9095420718,Duplicate,CRM,Residence,Inactive,Nil,Budanta
190,26-04-22,Eswarya,Junk Lead,9231448910,Invalid number,CRM,Residence,Inactive,Nil,Budanta
191,26-04-22,Eswarya,Junk Lead,6615816916,Invalid number,CRM,Residence,Inactive,Nil,Budanta
192,26-04-22,Eswarya,Junk Lead,9943451050,Not required,CRM,Residence,Inactive,Nil,Budanta
193,26-04-22,Eswarya,Junk Lead,9047479420,Not required,CRM,Residence,Inactive,Nil,Budanta
194,26-04-22,Eswarya,Junk Lead,9751425656,Out of district,CRM,Residence,Inactive,Nil,Budanta
195,26-04-22,Eswarya,Junk Lead,9751241767,Invalid number,CRM,Residence,Inactive,Nil,Budanta
196,26-04-22,Eswarya,Junk Lead,7365165704,Invalid number,CRM,Residence,Inactive,Nil,Budanta
197,26-04-22,Eswarya,Junk Lead,9442840242,Not required,CRM,Residence,Inactive,Nil,Budanta
198,26-04-22,Eswarya,Junk Lead,8995116616,Invalid number,CRM,Residence,Inactive,Nil,Budanta
199,26-04-22,Eswarya,Junk Lead,9943451050,Duplicate,CRM,Residence,Inactive,Nil,Budanta
200,26-04-22,Eswarya,Junk Lead,9943449011,Not required,CRM,Residence,Inactive,Nil,Budanta
201,26-04-22,Eswarya,Junk Lead,9943451050,Duplicate,CRM,Residence,Inactive,Nil,Budanta
202,26-04-22,Eswarya,Junk Lead,9856216161,Not required,CRM,Residence,Inactive,Nil,Budanta
203,26-04-22,Eswarya,Junk Lead,7094294624,Not interested ,CRM,Residence,Inactive,Nil,Budanta
204,26-04-22,Eswarya,Junk Lead,9943604055,Duplicate,CRM,Residence,Inactive,Nil,Budanta
205,26-04-22,Eswarya,Junk Lead,9943451050,Duplicate,CRM,Residence,Inactive,Nil,Budanta
206,26-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
207,26-04-22,Eswarya,Junk Lead,9659537811,Duplicate,CRM,Residence,Inactive,Nil,Budanta
208,26-04-22,Eswarya,Junk Lead,7639241700,Invalid number,CRM,Residence,Inactive,Nil,Budanta
209,26-04-22,Eswarya,Junk Lead,7639167479,Out of district,CRM,Residence,Inactive,Nil,Budanta
210,26-04-22,Eswarya,Junk Lead,9159310843,Duplicate,CRM,Residence,Inactive,Nil,Budanta
211,26-04-22,Eswarya,Junk Lead,7639603439,Invalid number,CRM,Residence,Inactive,Nil,Budanta
212,26-04-22,Eswarya,Junk Lead,9994665616,Not required,CRM,Residence,Inactive,Nil,Budanta
213,26-04-22,Eswarya,Junk Lead,9496216216,Switched off ,CRM,Residence,Inactive,Nil,Budanta
214,26-04-22,Eswarya,Junk Lead,9843843552,Not interested ,CRM,Residence,Inactive,Nil,Budanta
215,26-04-22,Eswarya,Junk Lead,9941216616,Duplicate,CRM,Residence,Inactive,Nil,Budanta
216,26-04-22,Eswarya,Junk Lead,9921621002,Switched off ,CRM,Residence,Inactive,Nil,Budanta
217,26-04-22,Eswarya,Junk Lead,9843731046,Not interested ,CRM,Residence,Inactive,Nil,Budanta
218,26-04-22,Eswarya,Junk Lead,9602520021,Invalid number,CRM,Residence,Inactive,Nil,Budanta
219,26-04-22,Eswarya,Junk Lead,9962150061,Not required,CRM,Residence,Inactive,Nil,Budanta
220,26-04-22,Eswarya,Junk Lead,8940353744,Duplicate,CRM,Residence,Inactive,Nil,Budanta
221,26-04-22,Muniswari,Junk Lead,8754921090,Out of district,CRM,Residence,Inactive,Nil,Budanta
222,26-04-22,Muniswari,Junk Lead,9876234156,Not responding,CRM,Residence,Inactive,Nil,Budanta
223,26-04-22,Muniswari,Junk Lead,9585589266,Out of district ,CRM,Residence,Inactive,Nil,Budanta
224,26-04-22,Muniswari,Junk Lead,9865294336,Duplicate,CRM,Residence,Inactive,Nil,Budanta
225,26-04-22,Muniswari,Junk Lead,9585589266,Duplicate,CRM,Residence,Inactive,Nil,Budanta
226,26-04-22,Muniswari,Junk Lead,9788855408,Duplicate,CRM,Residence,Inactive,Nil,Budanta
